year,state,month,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,popestimate2019
2019,Georgia,78,222456.0,1.0,162135.0,102665.0,7785.0,7489,0.0,258.0,183.0,17.0,21996.0,13628.0,92.0,107.0,5.0,0.0,0.0,0.0,192.0,73.0,19.0,4.0,8.0,0.0,539113,10617423
2019,Hawaii,78,12624.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12666,1415872
2019,Idaho,78,85366.0,45.0,50565.0,54904.0,4839.0,3040,1.0,71.0,90.0,6.0,4345.0,5141.0,12.0,484.0,122.0,42.0,0.0,0.0,70.0,112.0,5.0,5.0,9.0,1.0,209275,1787065
2019,Illinois,78,166970.0,4403672.0,248616.0,119357.0,0.0,10955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4949570,12671821
2019,Indiana,78,227637.0,810006.0,228087.0,140126.0,19698.0,9861,279.0,97.0,72.0,21.0,7475.0,5194.0,230.0,227.0,9.0,4.0,0.0,0.0,619.0,535.0,328.0,27.0,31.0,2.0,1450565,6732219
2019,Iowa,78,64525.0,85741.0,2098.0,28752.0,548.0,52,22.0,0.0,4.0,0.0,23.0,523.0,4.0,345.0,123.0,13.0,0.0,0.0,1.0,24.0,3.0,0.0,1.0,0.0,182802,3155070
2019,Kansas,78,18691.0,72.0,66735.0,58576.0,6527.0,4380,0.0,113.0,61.0,21.0,7271.0,3717.0,122.0,375.0,84.0,10.0,0.0,0.0,135.0,87.0,22.0,5.0,5.0,1.0,167010,2913314
2019,Kentucky,78,1782427.0,2069338.0,126820.0,90486.0,5650.0,7313,71.0,302.0,236.0,7.0,21257.0,16151.0,30.0,120.0,108.0,0.0,0.0,0.0,288.0,243.0,25.0,5.0,12.0,3.0,4120892,4467673
2019,Louisiana,78,22367.0,1261.0,119091.0,100417.0,9144.0,7355,3.0,129.0,108.0,9.0,12500.0,9404.0,77.0,3.0,0.0,0.0,0.0,0.0,188.0,173.0,23.0,8.0,4.0,0.0,282264,4648794
2019,Maine,78,6287.0,57.0,36250.0,39112.0,3685.0,2219,27.0,11.0,7.0,0.0,1107.0,1266.0,18.0,251.0,172.0,2.0,0.0,0.0,63.0,70.0,10.0,4.0,8.0,0.0,90626,1344212
2019,Maryland,78,40927.0,89.0,43180.0,58776.0,1468.0,463,0.0,33.0,28.0,4.0,820.0,1459.0,13.0,723.0,282.0,6.0,0.0,0.0,0.0,324.0,183.0,18.0,16.0,1.0,148813,6045680
2019,Massachusetts,78,123086.0,6.0,50515.0,29507.0,5911.0,2117,86.0,2.0,3.0,3.0,82.0,67.0,5.0,8.0,2.0,0.0,0.0,0.0,434.0,335.0,109.0,23.0,15.0,0.0,212316,6892503
